time,car_x,car_y,steering_angle,current_velocity,position_error,cmd_vel_out
0.795,388.477,-227.645,0.0785,0.00,5.08,2.70
0.996,388.478,-227.646,0.0786,0.55,5.07,2.70
1.196,388.479,-227.647,0.0786,0.55,5.07,2.70
1.398,388.482,-227.649,0.0787,0.55,5.07,2.70
1.604,388.484,-227.651,0.0788,1.39,5.07,2.70
1.796,388.486,-227.652,0.0788,1.39,5.06,2.70
1.996,388.489,-227.655,0.0790,1.39,5.06,2.70
2.196,388.494,-227.658,0.0791,1.39,5.05,2.69
2.397,388.499,-227.662,0.0793,1.44,5.05,2.69
2.596,388.505,-227.667,0.0795,1.44,5.04,2.69
2.796,388.512,-227.673,0.0798,1.44,5.03,2.68
2.996,388.518,-227.677,0.0800,1.49,5.02,2.68
3.196,388.528,-227.684,0.0803,1.49,5.01,2.68
3.396,388.535,-227.690,0.0806,1.49,5.00,2.67
3.596,388.543,-227.696,0.0808,1.53,4.99,2.67
3.796,388.553,-227.703,0.0812,1.53,4.98,2.67
3.996,388.563,-227.712,0.0815,1.53,4.97,2.66
4.197,388.578,-227.723,0.0885,1.58,4.96,2.57
4.397,388.588,-227.730,0.0889,1.58,4.95,2.56
4.596,388.601,-227.740,0.0894,1.58,4.94,2.56
4.796,388.620,-227.755,0.0964,1.58,4.93,2.47
4.995,388.647,-227.775,0.0975,1.58,4.89,2.46
5.196,388.664,-227.788,0.0983,1.57,4.87,2.45
5.396,388.664,-227.788,0.0983,1.57,4.87,2.45
5.596,388.699,-227.815,0.0968,1.57,4.82,2.46
5.795,388.710,-227.823,0.0973,1.63,4.81,2.46
5.996,388.730,-227.838,0.0981,1.63,4.78,2.45
6.199,388.750,-227.853,0.0990,1.63,4.76,2.44
6.396,388.770,-227.868,0.1031,1.67,4.74,2.39
6.596,388.797,-227.889,0.1043,1.67,4.71,2.37
6.796,388.811,-227.899,0.1049,1.67,4.69,2.37
6.996,388.836,-227.917,0.1060,1.68,4.66,2.35
7.249,388.860,-227.935,0.1090,1.68,4.64,2.32
7.446,388.895,-227.961,0.1106,1.68,4.59,2.30
7.646,388.913,-227.975,0.1249,1.27,4.61,2.14
7.846,388.948,-228.001,0.1269,1.27,4.56,2.12
8.045,388.967,-228.015,0.1279,1.27,4.54,2.11
8.270,389.010,-228.047,0.1304,1.46,4.49,2.08
8.451,389.033,-228.064,0.1097,1.46,4.42,2.31
8.646,389.062,-228.085,0.1111,1.46,4.38,2.30
8.851,389.093,-228.108,0.1269,1.64,4.40,2.12
9.046,389.141,-228.144,0.1297,1.64,4.34,2.09
9.247,389.179,-228.171,0.1319,1.64,4.29,2.07
9.445,389.211,-228.195,0.1221,1.83,4.25,2.17
9.646,389.242,-228.217,0.1238,1.83,4.21,2.15
9.846,389.287,-228.250,0.1263,1.83,4.16,2.13
10.046,389.338,-228.286,0.1292,2.01,4.10,2.10
10.246,389.418,-228.345,0.1341,2.01,4.00,2.04
10.446,389.462,-228.376,0.1412,2.05,3.99,1.97
10.648,389.520,-228.417,0.1450,2.05,3.92,1.90
10.846,389.546,-228.436,0.1469,2.05,3.89,1.87
11.046,389.575,-228.456,0.1817,1.85,3.93,1.58
11.246,389.638,-228.500,0.1873,1.85,3.86,1.51
11.446,389.691,-228.538,0.1922,1.85,3.80,1.45
11.645,389.717,-228.556,0.1749,1.73,3.72,1.55
11.847,389.760,-228.585,0.1785,1.73,3.67,1.50
12.757,389.778,-228.598,0.1801,1.73,3.65,1.48
12.947,389.838,-228.640,0.1854,1.68,3.57,1.41
13.146,389.879,-228.667,0.1646,1.68,3.71,1.63
13.347,389.918,-228.694,0.1676,1.68,3.66,1.58
13.545,389.959,-228.721,0.1706,1.70,3.62,1.54
13.746,389.994,-228.744,0.1734,1.70,3.57,1.50
13.946,390.030,-228.769,0.1451,1.70,3.48,1.68
14.146,390.063,-228.791,0.1472,1.69,3.44,1.65
14.346,390.110,-228.822,0.1502,1.69,3.38,1.60
14.546,390.152,-228.849,0.1530,1.69,3.33,1.55
14.745,390.206,-228.885,0.0946,1.60,3.40,2.12
14.946,390.238,-228.905,0.0955,1.60,3.36,2.08
15.146,390.291,-228.939,0.0970,1.88,3.30,2.03
15.346,390.315,-228.955,0.0534,1.88,3.24,2.48
15.546,390.349,-228.977,0.0533,1.88,3.20,2.45
15.746,390.393,-229.006,0.0533,2.09,3.14,2.41
15.945,390.441,-229.036,0.0474,2.09,3.09,2.43
16.146,390.484,-229.064,0.0472,2.09,3.03,2.40
16.346,390.510,-229.080,0.0472,2.12,3.00,2.37
16.546,390.548,-229.104,0.0386,2.12,3.41,2.81
16.746,390.603,-229.140,0.0382,2.12,3.34,2.76
16.946,390.653,-229.171,0.0380,2.35,3.28,2.71
17.146,390.721,-229.214,0.0339,2.35,3.37,2.84
17.347,390.721,-229.214,0.0339,2.35,3.37,2.84
17.546,390.810,-229.271,0.0333,2.44,3.26,2.76
17.746,390.859,-229.302,0.0330,2.44,3.21,2.72
17.946,390.925,-229.343,0.0326,2.42,3.13,2.66
18.146,390.950,-229.358,0.0153,2.42,3.31,3.06
18.357,391.000,-229.390,0.0144,2.42,3.25,3.02
18.546,391.062,-229.429,-0.0053,2.42,3.17,3.09
18.745,391.148,-229.483,-0.0080,2.62,3.07,2.95
18.946,391.212,-229.522,-0.0102,2.62,2.99,2.84
19.146,391.255,-229.549,-0.0117,2.60,2.94,2.77
19.346,391.330,-229.595,-0.0144,2.60,2.85,2.66
19.578,391.348,-229.606,-0.0304,2.60,2.83,2.43
19.755,391.415,-229.648,-0.0340,2.49,2.75,2.32
19.946,391.473,-229.684,-0.0372,2.49,2.68,2.23
20.149,391.537,-229.723,-0.0410,2.49,2.61,2.12
20.359,391.568,-229.742,-0.0764,2.23,2.57,1.76
20.552,391.628,-229.779,-0.0822,2.23,2.50,1.66
20.749,391.695,-229.821,-0.0892,2.23,2.42,1.55
20.945,391.733,-229.844,-0.0486,1.87,3.24,2.54
21.146,391.788,-229.878,-0.0514,1.87,3.17,2.45
21.350,391.853,-229.918,-0.0548,1.87,3.10,2.36
21.552,391.884,-229.937,-0.0565,2.29,3.06,2.31
21.746,391.942,-229.974,-0.0598,2.29,2.99,2.22
21.946,392.005,-230.012,-0.0635,2.29,2.92,2.13
22.146,392.042,-230.035,-0.0561,2.19,2.98,2.25
22.346,392.121,-230.084,-0.0604,2.19,2.89,2.14
22.545,392.185,-230.124,-0.0900,2.24,3.06,1.95
22.762,392.222,-230.146,-0.0928,2.24,3.01,1.90
22.946,392.270,-230.176,-0.0967,2.24,2.96,1.82
23.146,392.318,-230.206,-0.0828,2.07,2.98,1.97
23.346,392.364,-230.235,-0.0860,2.07,2.93,1.91
23.546,392.409,-230.263,-0.0893,2.07,2.88,1.84
23.746,392.474,-230.303,-0.0845,1.92,2.95,1.93
23.946,392.531,-230.339,-0.0884,1.92,2.88,1.85
24.146,392.566,-230.361,-0.0909,1.92,2.84,1.80
24.415,392.595,-230.379,-0.0930,1.87,2.80,1.76
24.596,392.644,-230.410,-0.0806,1.87,2.99,2.00
24.796,392.703,-230.447,-0.0841,1.87,2.92,1.92
24.996,392.724,-230.461,-0.0855,1.87,2.89,1.89
25.196,392.768,-230.489,-0.0883,1.87,2.84,1.83
25.395,392.828,-230.527,-0.0608,1.87,3.06,2.26
25.597,392.850,-230.541,-0.0616,1.90,3.03,2.23
25.796,392.850,-230.541,-0.0616,1.90,3.03,2.23
25.996,392.916,-230.583,-0.0643,1.90,2.96,2.14
26.199,392.955,-230.608,-0.0544,1.90,3.11,2.37
26.397,393.007,-230.641,-0.0561,2.09,3.05,2.30
26.596,393.039,-230.662,-0.0572,2.09,3.01,2.26
26.796,393.094,-230.697,-0.0668,2.09,3.18,2.27
26.996,393.142,-230.728,-0.0687,2.24,3.12,2.21
27.196,393.186,-230.756,-0.0706,2.24,3.07,2.15
27.396,393.229,-230.784,-0.0726,2.24,3.02,2.10
27.601,393.293,-230.825,-0.0757,2.15,2.94,2.01
27.796,393.344,-230.858,-0.0783,2.15,2.88,1.95
29.050,393.347,-230.860,-0.0694,2.15,3.06,2.16
29.247,393.369,-230.874,-0.0704,2.15,3.04,2.14
29.445,393.437,-230.918,-0.0734,2.04,2.96,2.05
29.646,393.469,-230.939,-0.0749,2.04,2.92,2.01
29.846,393.556,-230.995,-0.0739,2.08,3.17,2.19
30.046,393.556,-230.995,-0.0739,2.08,3.17,2.19
30.246,393.599,-231.024,-0.0758,2.08,3.11,2.13
30.445,393.648,-231.056,-0.0781,2.08,3.06,2.07
30.645,393.712,-231.098,-0.0774,2.12,3.23,2.20
30.846,393.760,-231.129,-0.0795,2.12,3.18,2.14
31.046,393.794,-231.152,-0.0811,2.12,3.14,2.09
31.246,393.837,-231.180,-0.0832,2.14,3.09,2.04
31.447,393.881,-231.209,-0.0860,2.14,3.03,1.97
31.708,393.946,-231.252,-0.0895,2.14,2.96,1.89
31.896,393.983,-231.277,-0.0917,2.00,2.91,1.84
32.115,394.029,-231.308,-0.0711,2.00,3.24,2.27
32.296,394.070,-231.335,-0.0726,2.00,3.19,2.22
32.508,394.117,-231.366,-0.0744,1.98,3.13,2.16
32.696,394.146,-231.386,-0.0756,1.98,3.10,2.12
32.944,394.184,-231.412,-0.0819,1.98,3.21,2.13
33.187,394.227,-231.441,-0.0839,2.09,3.16,2.08
33.402,394.302,-231.491,-0.0874,2.09,3.07,1.98
33.616,394.328,-231.509,-0.0888,2.09,3.04,1.95
33.818,394.382,-231.545,-0.0935,2.01,3.26,2.04
33.996,394.421,-231.572,-0.0955,2.01,3.21,1.99
34.196,394.462,-231.600,-0.0977,2.01,3.16,1.94
34.410,394.511,-231.634,-0.1005,1.97,3.10,1.88
34.622,394.542,-231.655,-0.1004,1.97,3.31,2.00
34.796,394.598,-231.693,-0.1035,1.97,3.24,1.93
34.995,394.627,-231.713,-0.1052,1.95,3.21,1.89
35.196,394.685,-231.753,-0.1087,1.95,3.14,1.82
35.397,394.702,-231.765,-0.1098,1.95,3.12,1.80
35.599,394.750,-231.799,-0.0996,1.98,3.24,1.97
35.799,394.794,-231.829,-0.1019,1.98,3.19,1.92
35.996,394.834,-231.857,-0.1042,1.98,3.14,1.87
36.195,394.874,-231.885,-0.0860,1.88,3.33,2.17
36.395,394.932,-231.926,-0.0885,1.88,3.26,2.10
36.595,394.973,-231.955,-0.0903,1.88,3.21,2.05
36.796,395.033,-231.997,-0.0931,2.03,3.14,1.97
36.996,395.096,-232.042,-0.0959,2.03,3.06,1.90
37.196,395.136,-232.070,-0.0979,1.92,3.02,1.85
37.396,395.177,-232.100,-0.1002,1.92,2.96,1.80
37.595,395.207,-232.121,-0.1019,1.92,2.93,1.76
37.796,395.257,-232.157,-0.0955,2.02,3.32,2.06
37.996,395.296,-232.185,-0.0973,2.02,3.28,2.01
38.196,395.327,-232.207,-0.0989,2.02,3.24,1.98
38.396,395.368,-232.237,-0.1001,1.98,3.43,2.08
38.596,395.412,-232.269,-0.1022,1.98,3.37,2.02
38.796,395.458,-232.302,-0.1046,1.98,3.32,1.97
38.998,395.496,-232.330,-0.1066,1.97,3.27,1.92
39.196,395.543,-232.364,-0.1092,1.97,3.21,1.86
39.395,395.576,-232.388,-0.1089,1.97,3.17,1.84
39.596,395.612,-232.415,-0.1110,1.97,3.12,1.79
39.795,395.670,-232.458,-0.1146,1.88,3.05,1.72
39.996,395.705,-232.484,-0.1168,1.88,3.01,1.68
40.196,395.746,-232.514,-0.1196,1.74,2.96,1.63
40.408,395.765,-232.529,-0.1209,1.74,2.93,1.60
40.595,395.820,-232.569,-0.1423,1.74,2.88,1.41
40.796,395.856,-232.596,-0.1454,1.57,2.84,1.37
40.996,395.914,-232.640,-0.1508,1.57,2.77,1.30
41.196,395.953,-232.670,-0.1407,1.57,2.71,1.34
41.396,395.977,-232.689,-0.1428,1.50,2.68,1.31
41.595,395.991,-232.699,-0.1441,1.50,2.66,1.29
41.795,396.023,-232.724,-0.0892,1.50,3.45,2.21
41.996,396.043,-232.739,-0.0898,1.50,3.43,2.19
42.201,396.080,-232.768,-0.0910,1.56,3.38,2.14
42.396,396.122,-232.800,-0.0786,1.56,3.50,2.36
42.596,396.168,-232.836,-0.0797,1.98,3.44,2.31
42.798,396.191,-232.854,-0.0803,1.98,3.41,2.28
42.996,396.227,-232.882,-0.0813,1.98,3.36,2.24
43.196,396.273,-232.918,-0.0774,2.06,3.48,2.36
43.395,396.329,-232.962,-0.0789,2.06,3.41,2.30
43.596,396.346,-232.975,-0.0794,2.06,3.39,2.28
43.830,396.365,-232.990,-0.0826,2.06,3.36,2.23
44.495,396.414,-233.028,-0.0842,2.03,3.30,2.17
44.696,396.477,-233.078,-0.0864,2.03,3.22,2.09
44.896,396.527,-233.118,-0.0883,2.00,3.16,2.03
45.099,396.565,-233.148,-0.0897,2.00,3.11,1.99
45.296,396.610,-233.184,-0.0767,2.00,3.35,2.28
45.495,396.657,-233.221,-0.0781,2.17,3.29,2.23
45.695,396.697,-233.253,-0.0793,2.17,3.24,2.18
45.896,396.724,-233.275,-0.0824,2.17,3.54,2.34
46.096,396.784,-233.323,-0.0843,2.22,3.46,2.27
46.296,396.825,-233.356,-0.0858,2.22,3.41,2.22
46.495,396.890,-233.409,-0.0882,2.17,3.32,2.14
46.696,396.965,-233.470,-0.0912,2.17,3.23,2.05
46.896,396.997,-233.496,-0.0922,2.17,3.19,2.01
47.096,397.049,-233.538,-0.0946,2.03,3.12,1.94
47.296,397.077,-233.562,-0.0959,2.03,3.08,1.91
47.512,397.135,-233.609,-0.0988,2.03,3.01,1.84
47.695,397.171,-233.639,-0.0724,2.15,3.39,2.36
47.896,397.217,-233.677,-0.0737,2.15,3.33,2.30
48.096,397.244,-233.699,-0.0723,2.15,3.29,2.29
48.296,397.298,-233.745,-0.0739,2.20,3.22,2.23
48.496,397.339,-233.779,-0.0751,2.20,3.17,2.18
48.696,397.390,-233.821,-0.0726,2.20,3.40,2.37
48.895,397.420,-233.846,-0.0735,2.28,3.37,2.33
49.096,397.471,-233.890,-0.0750,2.28,3.30,2.27
49.312,397.489,-233.905,-0.0756,2.28,3.28,2.24
49.496,397.557,-233.962,-0.0687,2.27,3.18,2.26
49.696,397.645,-234.036,-0.0712,2.27,3.07,2.15
49.896,397.690,-234.074,-0.0727,2.18,3.01,2.09
50.096,397.746,-234.122,-0.0746,2.18,2.93,2.02
50.297,397.783,-234.154,-0.0693,2.18,3.15,2.23
50.496,397.822,-234.187,-0.0704,2.22,3.10,2.18
50.696,397.865,-234.224,-0.0718,2.22,3.05,2.13
50.907,397.907,-234.261,-0.0733,2.22,2.99,2.07
51.096,397.965,-234.310,-0.0739,2.09,3.10,2.15
51.296,397.994,-234.336,-0.0749,2.09,3.07,2.11
51.500,398.038,-234.374,-0.0765,2.09,3.01,2.05
51.700,398.123,-234.447,-0.0799,2.10,2.90,1.94
51.896,398.163,-234.483,-0.0682,2.10,3.07,2.18
52.096,398.206,-234.520,-0.0695,2.11,3.01,2.13
52.296,398.244,-234.554,-0.0708,2.11,2.96,2.08
52.496,398.329,-234.628,-0.0823,2.08,3.05,2.02
52.696,398.368,-234.663,-0.0841,2.08,3.00,1.97
52.896,398.400,-234.691,-0.0856,2.08,2.95,1.93
53.110,398.464,-234.748,-0.0835,1.96,3.01,1.99
53.322,398.466,-234.750,-0.0836,1.96,3.01,1.98
53.497,398.526,-234.803,-0.0863,1.96,2.93,1.90
53.696,398.577,-234.848,-0.0889,1.89,2.86,1.84
53.896,398.619,-234.886,-0.0866,1.89,2.97,1.93
54.097,398.676,-234.937,-0.0894,1.87,2.89,1.85
54.296,398.718,-234.975,-0.0916,1.87,2.84,1.79
54.495,398.756,-235.010,-0.0937,1.87,2.79,1.74
54.696,398.803,-235.052,-0.0762,1.96,2.97,2.03
54.898,398.833,-235.080,-0.0774,1.96,2.93,1.99
55.112,398.843,-235.089,-0.0778,1.96,2.91,1.98
55.308,398.874,-235.117,-0.0842,1.96,2.88,1.89
55.495,398.931,-235.169,-0.0870,1.89,2.80,1.81
55.701,398.953,-235.189,-0.0881,1.89,2.77,1.78
55.901,398.990,-235.224,-0.0901,1.89,2.72,1.73
56.096,399.026,-235.257,-0.0809,1.76,3.10,2.07
56.297,399.063,-235.291,-0.0824,1.76,3.05,2.02
56.496,399.084,-235.310,-0.0833,1.76,3.02,1.99
56.696,399.118,-235.342,-0.0849,1.91,2.98,1.95
56.896,399.171,-235.391,-0.0823,1.91,3.23,2.14
57.096,399.210,-235.427,-0.0839,1.91,3.18,2.09
57.298,399.250,-235.464,-0.0856,2.01,3.13,2.04
57.496,399.284,-235.496,-0.0872,2.01,3.08,1.99
57.696,399.337,-235.546,-0.0758,2.01,3.26,2.23
57.896,399.388,-235.593,-0.0777,2.11,3.19,2.16
58.096,399.426,-235.630,-0.0792,2.11,3.13,2.11
58.296,399.465,-235.666,-0.0807,2.10,3.08,2.06
58.522,399.514,-235.713,-0.0829,2.10,3.01,1.99
58.722,399.547,-235.744,-0.0681,2.10,3.22,2.29
58.946,399.588,-235.784,-0.0693,2.10,3.16,2.23
59.169,399.642,-235.835,-0.0711,2.21,3.08,2.16
59.433,399.672,-235.864,-0.0722,2.21,3.04,2.12
59.607,399.712,-235.902,-0.0653,2.21,3.28,2.37
59.800,399.770,-235.958,-0.0669,2.14,3.20,2.29
59.996,399.815,-236.002,-0.0684,2.14,3.14,2.23
60.196,399.858,-236.042,-0.0609,2.26,3.31,2.44
60.401,399.891,-236.075,-0.0618,2.26,3.26,2.39
60.596,399.980,-236.162,-0.0642,2.26,3.14,2.27
60.796,400.029,-236.209,-0.0551,2.34,3.24,2.46
60.996,400.054,-236.234,-0.0557,2.34,3.21,2.43
61.196,400.101,-236.280,-0.0567,2.34,3.14,2.37
61.399,400.153,-236.331,-0.0580,2.40,3.07,2.30
61.605,400.186,-236.363,-0.0543,2.40,3.16,2.41
61.796,400.254,-236.430,-0.0559,2.40,3.06,2.32
61.996,400.292,-236.468,-0.0568,2.36,3.01,2.26
62.195,400.336,-236.511,-0.0580,2.36,2.95,2.21
62.395,400.384,-236.559,-0.0550,2.36,3.07,2.33
62.596,400.426,-236.601,-0.0561,2.27,3.01,2.27
62.796,400.451,-236.625,-0.0567,2.27,2.98,2.24
62.996,400.492,-236.666,-0.0504,2.27,3.09,2.40
63.195,400.537,-236.711,-0.0514,2.36,3.02,2.34
63.395,400.599,-236.773,-0.0528,2.36,2.94,2.25
63.596,400.643,-236.817,-0.0562,2.36,3.03,2.28
63.796,400.668,-236.842,-0.0569,2.30,2.99,2.25
63.995,400.710,-236.884,-0.0578,2.30,3.07,2.30
64.199,400.761,-236.936,-0.0594,2.30,2.99,2.22
64.396,400.840,-237.016,-0.0620,2.25,2.88,2.11
64.597,400.879,-237.055,-0.0635,2.25,2.83,2.06
64.796,400.921,-237.098,-0.0617,2.14,2.76,2.03
64.996,400.954,-237.132,-0.0629,2.14,2.72,1.98
65.195,401.000,-237.178,-0.0648,2.14,2.65,1.92
65.396,401.055,-237.234,-0.0559,2.19,3.01,2.28
65.595,401.093,-237.274,-0.0570,2.19,2.95,2.22
65.796,401.123,-237.305,-0.0579,2.19,2.91,2.18
66.013,401.160,-237.343,-0.0609,2.18,2.86,2.11
66.196,401.201,-237.384,-0.0624,2.18,2.80,2.05
66.437,401.239,-237.424,-0.0639,2.18,2.75,1.99
66.596,401.295,-237.481,-0.0533,2.04,3.08,2.36
66.796,401.325,-237.513,-0.0542,2.04,3.04,2.32
66.995,401.394,-237.584,-0.0562,2.20,2.94,2.22
67.196,401.447,-237.639,-0.0565,2.20,2.98,2.25
67.396,401.480,-237.674,-0.0575,2.20,2.93,2.20
67.596,401.522,-237.717,-0.0589,2.20,2.87,2.14
67.798,401.560,-237.757,-0.0495,2.20,3.06,2.39
67.996,401.600,-237.799,-0.0505,2.20,3.00,2.33
68.196,401.658,-237.860,-0.0510,2.28,3.10,2.40
68.396,401.700,-237.904,-0.0521,2.28,3.04,2.34
68.596,401.770,-237.978,-0.0561,2.31,3.04,2.29
68.799,401.784,-237.993,-0.0565,2.31,3.01,2.27
68.995,401.826,-238.037,-0.0579,2.31,2.95,2.21
69.196,401.890,-238.105,-0.0518,2.30,3.01,2.32
69.396,401.945,-238.163,-0.0534,2.30,2.93,2.24
69.596,401.982,-238.203,-0.0428,2.30,3.05,2.47
69.799,402.030,-238.253,-0.0437,2.29,2.98,2.40
69.996,402.054,-238.279,-0.0442,2.29,2.95,2.36
70.198,402.116,-238.346,-0.0503,2.29,3.03,2.35
70.396,402.149,-238.382,-0.0512,2.36,2.98,2.30
70.596,402.181,-238.416,-0.0522,2.36,2.93,2.26
70.796,402.266,-238.507,-0.0549,2.24,2.81,2.13
70.997,402.283,-238.525,-0.0555,2.24,2.78,2.11
71.196,402.344,-238.591,-0.0552,2.24,2.87,2.18
71.396,402.391,-238.642,-0.0569,2.20,2.80,2.11
71.597,402.418,-238.671,-0.0579,2.20,2.76,2.07
71.796,402.474,-238.732,-0.0518,2.20,2.95,2.28
71.996,402.506,-238.767,-0.0528,2.22,2.90,2.23
72.196,402.537,-238.800,-0.0538,2.22,2.86,2.18
72.396,402.616,-238.887,-0.0511,2.24,2.89,2.24
72.596,402.668,-238.943,-0.0527,2.24,2.82,2.16
72.806,402.705,-238.984,-0.0507,2.24,2.96,2.30
72.996,402.743,-239.025,-0.0518,2.23,2.90,2.24
73.196,402.789,-239.077,-0.0493,2.23,2.83,2.21
73.396,402.825,-239.116,-0.0504,2.23,2.78,2.16
73.596,402.849,-239.143,-0.0433,2.17,3.10,2.50
73.796,402.893,-239.191,-0.0443,2.17,3.04,2.43
73.995,402.947,-239.251,-0.0351,2.17,3.09,2.59
74.195,403.014,-239.325,-0.0361,2.44,2.99,2.49
75.096,403.014,-239.325,-0.0361,2.44,2.99,2.49
75.746,403.054,-239.369,-0.0367,2.44,2.93,2.44
75.946,403.094,-239.414,-0.0375,2.41,2.87,2.38
76.152,403.150,-239.477,-0.0424,2.41,2.95,2.38
76.346,403.181,-239.511,-0.0431,2.41,2.90,2.34
76.547,403.240,-239.577,-0.0645,2.32,2.99,2.17
76.746,403.302,-239.646,-0.0674,2.32,2.90,2.07
76.945,403.359,-239.710,-0.0450,2.16,2.98,2.38
77.146,403.399,-239.755,-0.0460,2.16,2.92,2.32
77.352,403.422,-239.781,-0.0466,2.16,2.89,2.29
77.545,403.474,-239.840,-0.0482,2.27,2.81,2.21
77.746,403.517,-239.888,-0.0535,2.27,2.75,2.10
77.946,403.559,-239.935,-0.0550,2.27,2.68,2.04
78.145,403.617,-240.002,-0.0574,2.12,2.60,1.95
78.346,403.668,-240.059,-0.0480,2.12,2.52,1.98
78.547,403.668,-240.059,-0.0480,2.12,2.52,1.98
78.746,403.723,-240.121,-0.0499,2.03,2.43,1.90
78.952,403.761,-240.166,-0.0487,2.03,2.37,1.86
79.146,403.805,-240.216,-0.0503,2.03,2.31,1.79
79.345,403.841,-240.257,-0.0383,1.94,3.05,2.52
79.546,403.862,-240.281,-0.0387,1.94,3.02,2.49
79.762,403.909,-240.335,-0.0396,1.94,2.95,2.42
79.945,403.945,-240.377,-0.0404,2.00,2.90,2.37
80.152,403.964,-240.398,-0.0278,2.00,3.03,2.63
80.347,404.018,-240.461,-0.0283,2.00,2.94,2.55
80.546,404.042,-240.488,-0.0285,2.18,2.91,2.52
80.746,404.088,-240.541,-0.0141,2.18,2.83,2.64
80.945,404.119,-240.577,-0.0140,2.18,2.79,2.60
81.146,404.138,-240.599,-0.0139,2.36,2.76,2.57
81.346,404.218,-240.692,-0.0202,2.36,2.97,2.69
81.552,404.247,-240.725,-0.0203,2.36,2.93,2.65
81.746,404.291,-240.775,-0.0205,2.54,2.86,2.58
81.946,404.339,-240.832,-0.0121,2.54,2.79,2.62
82.148,404.386,-240.887,-0.0119,2.54,2.71,2.56
82.346,404.439,-240.948,-0.0116,2.58,2.63,2.48
82.553,404.479,-240.994,-0.0099,2.58,3.09,2.94
82.772,404.527,-241.051,-0.0096,2.58,3.02,2.87
82.948,404.546,-241.073,-0.0095,2.72,2.99,2.85
83.145,404.600,-241.136,0.0004,2.72,2.90,2.90
83.346,404.642,-241.185,0.0010,2.72,2.84,2.82
83.546,404.707,-241.261,0.0020,2.75,2.74,2.71
83.756,404.745,-241.305,0.0027,2.75,2.68,2.64
83.946,404.785,-241.352,0.0055,2.75,2.98,2.90
84.146,404.842,-241.419,0.0066,2.82,2.90,2.80
84.346,404.892,-241.477,0.0016,2.82,3.02,3.00
84.549,404.934,-241.526,0.0021,2.82,2.96,2.92
84.746,404.971,-241.571,0.0026,2.87,2.90,2.86
84.945,405.030,-241.640,0.0182,2.87,3.00,2.74
85.150,405.086,-241.705,0.0199,2.87,2.91,2.64
85.346,405.115,-241.739,0.0208,2.73,2.87,2.58
85.546,405.174,-241.808,0.0228,2.73,2.78,2.48
85.750,405.229,-241.873,0.0233,2.73,2.69,2.40
85.967,405.266,-241.917,0.0246,2.56,2.63,2.33
86.146,405.343,-242.007,0.0277,2.56,2.51,2.19
86.369,405.358,-242.025,0.0283,2.56,2.49,2.16
86.546,405.418,-242.096,0.0107,2.39,2.76,2.62
86.746,405.453,-242.136,0.0114,2.39,2.71,2.56
86.953,405.472,-242.158,0.0117,2.39,2.68,2.53
87.146,405.540,-242.239,0.0176,2.54,2.82,2.58
87.346,405.565,-242.268,0.0182,2.54,2.78,2.54
87.545,405.649,-242.368,0.0166,2.58,2.74,2.52
87.746,405.693,-242.419,0.0177,2.58,2.67,2.44
87.946,405.751,-242.487,0.0192,2.58,2.58,2.34
88.146,405.789,-242.531,0.0146,2.56,2.75,2.55
88.351,405.789,-242.531,0.0146,2.56,2.75,2.55
88.547,405.876,-242.634,0.0078,2.56,2.61,2.51
88.746,405.892,-242.653,0.0080,2.50,2.59,2.48
88.996,405.957,-242.730,0.0089,2.50,2.49,2.38
89.196,406.007,-242.787,0.0096,2.50,2.41,2.30
89.422,406.012,-242.793,0.0101,2.42,2.68,2.55
89.600,406.089,-242.884,0.0112,2.42,2.56,2.42
89.796,406.118,-242.919,0.0117,2.42,2.52,2.38
90.013,406.156,-242.963,0.0123,2.40,2.46,2.31
90.197,406.216,-243.034,0.0150,2.40,2.67,2.48
90.405,406.256,-243.081,0.0158,2.40,2.61,2.41
90.595,406.288,-243.119,0.0164,2.40,2.56,2.36
90.795,406.330,-243.168,0.0173,2.40,2.50,2.29
90.998,406.379,-243.225,0.0184,2.40,2.42,2.21
91.196,406.402,-243.252,0.0190,2.27,2.39,2.17
91.396,406.458,-243.317,0.0204,2.27,2.30,2.08
91.605,406.477,-243.341,0.0209,2.27,2.27,2.05
91.801,406.532,-243.404,-0.0056,2.13,2.47,2.41
91.996,406.570,-243.450,-0.0059,2.13,2.41,2.34
92.196,406.631,-243.521,-0.0187,2.49,2.91,2.65
92.396,406.671,-243.568,-0.0195,2.49,2.85,2.58
92.596,406.709,-243.613,-0.0204,2.49,2.79,2.52
92.796,406.758,-243.670,-0.0215,2.42,2.71,2.44
92.997,406.798,-243.716,-0.0139,2.42,2.86,2.67
93.196,406.831,-243.756,-0.0144,2.42,2.81,2.61
93.396,406.891,-243.826,-0.0154,2.53,2.71,2.51
93.596,406.934,-243.877,-0.0161,2.53,2.65,2.44
93.795,407.002,-243.957,-0.0215,2.53,2.81,2.53
93.996,407.020,-243.978,-0.0219,2.53,2.78,2.50
94.198,407.040,-244.001,-0.0223,2.53,2.75,2.46
94.396,407.106,-244.079,-0.0240,2.53,2.65,2.35
94.596,407.148,-244.128,-0.0329,2.40,2.96,2.51
94.797,407.185,-244.172,-0.0342,2.40,2.90,2.45
94.996,407.212,-244.203,-0.0351,2.40,2.86,2.40
95.196,407.274,-244.277,-0.0374,2.41,2.76,2.29
